à la mode    édzam énga lorang
sac    ékpwa
sac    nkura
saccader    ene mebóng
saccager    ayüign ntukh
sacquer    atsirane
sacraliser    ave akogang
sacrer    ave akôgang
sacrifier    adzimle éning
sagaie    akòng
sage    fekh
sage    nfefekh
sage    gnamôrô
saigner    abegh mbakh 
saigner    awub
saillir    adzègn
saisir    abîgn
sale    nvine
sale    ofufua
salarier    agnóng miang
saler    ave nku
salir    ave nvine
saliver    amin menden
saloper    adzim bo essègn
saluer    assome 
saluer    ave mbolo
sanctionner    assur
sang    mekî
santé    nvogh
sauf    ova’ave 
sauf    veveve
sauter    ayôô
sauver    anii
savoir    ayém
savoir    nyemane
savon    soba
scie    zik
scie    so
se au    olôme
sec    nkôt
sein    abégn
sel    nku
semence    nvong
semblable    aval da
sens    nfagh
sens    atsinane
sentir    agum
sentir    awôkh égnum
sérieux    édzidzine
sérieux    évôvuègn
serpent    gnô
serrer    alar
serrer    ayem
serviette    tawôlô
silence    évôl 
silence    évô
simple    ébubu
simple    zeze
singe    pwègn
slip    obatí
sœur (pour une fille)    monegnang
sœur (pour un homme)    kal
soif    évé’é
soir    nghôghasse
sol    si
soleil    nlôdzôp
soleil    viane
sombre    dzibe
sombre    ne-viu
sommeil    ôyo
sorcier    nsang mbwel
sorcier    ngbwengbwel
sortir    aküign
souffrir    ayén mindzúkh
souffrir    awôkh mintègn
soupe    nfiang
source    étam
sourd    ndokh
sourd    ndôndokh
soutien-gorge    essugh mebègn
soutien-gorge    ngunga
souvenir    ôlane’do
souvent    abûignbiyòng
sperme    meyôm
sport    bivüign
sucre    nkôkh
sûr    bebela
surtout    dangdang
tabac    tagha
tabac    cigha
tabasser    ayir 
tabasser    ayüignébom
table    tebele
tabler    adzi étabele
tacher    abo essègn
tâcher    ake nvìne
tacheter    ake nvine
taguer    abo meveghe
taille    ntégn
tailler    assone
se taire    assi évô
talocher    abime ondôkokh
tambouriner    abom ngom
tamiser    assegle
tamiser    atob
